Age	M	L	S
0	3.399	1.509	0.142
0.042	3.798	1.358	0.138
0.125	4.545	1.106	0.132
0.208	5.231	0.903	0.127
0.292	5.86	0.734	0.123
0.375	6.438	0.59	0.12
0.458	6.968	0.464	0.117
0.542	7.455	0.352	0.115
0.625	7.902	0.25	0.113
0.708	8.314	0.157	0.111
0.792	8.693	0.071	0.11
0.875	9.043	-0.01	0.109
0.958	9.367	-0.085	0.108
1.042	9.666	-0.156	0.107
1.125	9.944	-0.224	0.106
1.208	10.203	-0.287	0.106
1.292	10.445	-0.347	0.105
1.375	10.673	-0.404	0.105
1.458	10.886	-0.457	0.105
1.542	11.089	-0.508	0.105
1.625	11.281	-0.555	0.105
1.708	11.464	-0.6	0.106
1.792	11.64	-0.642	0.106
1.875	11.81	-0.681	0.106
1.958	11.975	-0.718	0.107
2	12.055	-0.735	0.107
2.042	12.135	-0.752	0.108
2.125	12.291	-0.784	0.108
2.208	12.445	-0.814	0.109
2.292	12.596	-0.842	0.11
2.375	12.746	-0.868	0.111
2.458	12.895	-0.892	0.112
2.542	13.044	-0.915	0.113
2.625	13.192	-0.936	0.114
2.708	13.34	-0.956	0.115
2.792	13.489	-0.974	0.116
2.875	13.639	-0.992	0.117
2.958	13.789	-1.009	0.118
3.042	13.941	-1.024	0.119
3.125	14.094	-1.04	0.121
3.208	14.248	-1.054	0.122
3.292	14.404	-1.068	0.123
3.375	14.562	-1.081	0.124
3.458	14.721	-1.094	0.125
3.542	14.881	-1.107	0.126
3.625	15.043	-1.119	0.127
3.708	15.207	-1.131	0.128
3.792	15.373	-1.143	0.129
3.875	15.54	-1.155	0.13
3.958	15.708	-1.166	0.131
4.042	15.878	-1.177	0.132
4.125	16.05	-1.188	0.133
4.208	16.223	-1.198	0.134
4.292	16.397	-1.209	0.134
4.375	16.573	-1.219	0.135
4.458	16.75	-1.229	0.136
4.542	16.928	-1.238	0.137
4.625	17.108	-1.248	0.138
4.708	17.289	-1.256	0.138
4.792	17.471	-1.265	0.139
4.875	17.654	-1.273	0.14
4.958	17.838	-1.281	0.14
5.042	18.023	-1.288	0.141
5.125	18.21	-1.294	0.142
5.208	18.397	-1.3	0.143
5.292	18.586	-1.306	0.143
5.375	18.775	-1.311	0.144
5.458	18.966	-1.315	0.145
5.542	19.158	-1.319	0.145
5.625	19.351	-1.322	0.146
5.708	19.546	-1.324	0.147
5.792	19.742	-1.326	0.147
5.875	19.938	-1.327	0.148
5.958	20.137	-1.327	0.149
6.042	20.336	-1.327	0.15
6.125	20.537	-1.326	0.15
6.208	20.74	-1.324	0.151
6.292	20.944	-1.321	0.152
6.375	21.15	-1.317	0.153
6.458	21.358	-1.313	0.153
6.542	21.567	-1.308	0.154
6.625	21.779	-1.303	0.155
6.708	21.992	-1.297	0.156
6.792	22.208	-1.29	0.157
6.875	22.426	-1.282	0.158
6.958	22.646	-1.274	0.159
7.042	22.868	-1.266	0.16
7.125	23.093	-1.256	0.161
7.208	23.32	-1.247	0.162
7.292	23.551	-1.236	0.163
7.375	23.783	-1.226	0.164
7.458	24.019	-1.214	0.165
7.542	24.258	-1.203	0.166
7.625	24.5	-1.191	0.167
7.708	24.745	-1.179	0.168
7.792	24.993	-1.166	0.169
7.875	25.244	-1.154	0.17
7.958	25.499	-1.141	0.171
8.042	25.757	-1.128	0.172
8.125	26.019	-1.114	0.173
8.208	26.284	-1.101	0.174
8.292	26.553	-1.088	0.175
8.375	26.826	-1.075	0.177
8.458	27.102	-1.061	0.178
8.542	27.382	-1.048	0.179
8.625	27.666	-1.035	0.18
8.708	27.954	-1.022	0.181
8.792	28.245	-1.009	0.182
8.875	28.541	-0.996	0.183
8.958	28.84	-0.983	0.184
9.042	29.143	-0.971	0.185
9.125	29.45	-0.959	0.186
9.208	29.76	-0.947	0.187
9.292	30.075	-0.935	0.188
9.375	30.393	-0.924	0.189
9.458	30.715	-0.913	0.19
9.542	31.04	-0.902	0.191
9.625	31.369	-0.892	0.192
9.708	31.702	-0.882	0.193
9.792	32.037	-0.873	0.194
9.875	32.376	-0.864	0.194
9.958	32.719	-0.855	0.195
10.042	33.064	-0.847	0.196
10.125	33.412	-0.839	0.197
10.208	33.763	-0.832	0.197
10.292	34.117	-0.825	0.198
10.375	34.473	-0.819	0.199
10.458	34.831	-0.813	0.199
10.542	35.192	-0.808	0.2
10.625	35.554	-0.803	0.2
10.708	35.919	-0.799	0.201
10.792	36.285	-0.795	0.201
10.875	36.652	-0.792	0.201
10.958	37.021	-0.789	0.202
11.042	37.391	-0.787	0.202
11.125	37.761	-0.786	0.202
11.208	38.133	-0.785	0.202
11.292	38.504	-0.785	0.203
11.375	38.876	-0.785	0.203
11.458	39.248	-0.786	0.203
11.542	39.619	-0.787	0.203
11.625	39.99	-0.789	0.203
11.708	40.36	-0.791	0.203
11.792	40.729	-0.795	0.203
11.875	41.097	-0.798	0.203
11.958	41.463	-0.803	0.202
12.042	41.828	-0.808	0.202
12.125	42.191	-0.813	0.202
12.208	42.551	-0.819	0.202
12.292	42.909	-0.826	0.202
12.375	43.264	-0.834	0.201
12.458	43.617	-0.842	0.201
12.542	43.966	-0.85	0.2
12.625	44.312	-0.86	0.2
12.708	44.654	-0.87	0.2
12.792	44.993	-0.88	0.199
12.875	45.327	-0.891	0.199
12.958	45.658	-0.903	0.198
13.042	45.984	-0.916	0.197
13.125	46.305	-0.929	0.197
13.208	46.622	-0.942	0.196
13.292	46.933	-0.957	0.195
13.375	47.24	-0.971	0.195
13.458	47.541	-0.987	0.194
13.542	47.837	-1.003	0.193
13.625	48.127	-1.02	0.193
13.708	48.411	-1.037	0.192
13.792	48.69	-1.055	0.191
13.875	48.963	-1.073	0.19
13.958	49.23	-1.092	0.189
14.042	49.491	-1.112	0.189
14.125	49.745	-1.132	0.188
14.208	49.994	-1.152	0.187
14.292	50.236	-1.173	0.186
14.375	50.472	-1.194	0.185
14.458	50.702	-1.216	0.184
14.542	50.925	-1.238	0.183
14.625	51.143	-1.26	0.182
14.708	51.354	-1.283	0.182
14.792	51.558	-1.306	0.181
14.875	51.757	-1.329	0.18
14.958	51.949	-1.353	0.179
15.042	52.136	-1.376	0.178
15.125	52.316	-1.4	0.177
15.208	52.491	-1.424	0.176
15.292	52.66	-1.448	0.175
15.375	52.823	-1.471	0.174
15.458	52.981	-1.495	0.174
15.542	53.133	-1.518	0.173
15.625	53.281	-1.541	0.172
15.708	53.423	-1.564	0.171
15.792	53.56	-1.587	0.17
15.875	53.693	-1.609	0.17
15.958	53.821	-1.63	0.169
16.042	53.945	-1.651	0.168
16.125	54.065	-1.672	0.167
16.208	54.182	-1.691	0.167
16.292	54.294	-1.71	0.166
16.375	54.403	-1.729	0.166
16.458	54.509	-1.746	0.165
16.542	54.612	-1.762	0.164
16.625	54.713	-1.778	0.164
16.708	54.81	-1.792	0.163
16.792	54.906	-1.805	0.163
16.875	55	-1.817	0.162
16.958	55.092	-1.828	0.162
17.042	55.182	-1.838	0.162
17.125	55.271	-1.847	0.161
17.208	55.36	-1.854	0.161
17.292	55.447	-1.86	0.161
17.375	55.534	-1.864	0.161
17.458	55.62	-1.867	0.161
17.542	55.706	-1.869	0.16
17.625	55.792	-1.869	0.16
17.708	55.879	-1.868	0.16
17.792	55.966	-1.866	0.16
17.875	56.053	-1.862	0.16
17.958	56.141	-1.857	0.16
18.042	56.23	-1.851	0.16
18.125	56.319	-1.843	0.16
18.208	56.41	-1.834	0.161
18.292	56.501	-1.824	0.161
18.375	56.593	-1.813	0.161
18.458	56.686	-1.801	0.161
18.542	56.78	-1.788	0.161
18.625	56.875	-1.774	0.162
18.708	56.97	-1.759	0.162
18.792	57.066	-1.743	0.162
18.875	57.161	-1.727	0.163
18.958	57.257	-1.71	0.163
19.042	57.352	-1.693	0.163
19.125	57.446	-1.676	0.163
19.208	57.538	-1.658	0.164
19.292	57.629	-1.641	0.164
19.375	57.717	-1.623	0.164
19.458	57.802	-1.606	0.165
19.542	57.883	-1.59	0.165
19.625	57.96	-1.573	0.165
19.708	58.03	-1.558	0.166
19.792	58.095	-1.544	0.166
19.875	58.151	-1.531	0.166
19.958	58.199	-1.519	0.167
20	58.219	-1.513	0.167
