Age	M	L	S
0	3.53	1.815	0.152
0.042	4.003	1.548	0.146
0.125	4.88	1.069	0.136
0.208	5.673	0.696	0.13
0.292	6.391	0.42	0.125
0.375	7.042	0.22	0.121
0.458	7.63	0.078	0.118
0.542	8.163	-0.022	0.116
0.625	8.645	-0.089	0.115
0.708	9.081	-0.133	0.113
0.792	9.477	-0.16	0.112
0.875	9.835	-0.174	0.111
0.958	10.162	-0.18	0.111
1.042	10.459	-0.179	0.11
1.125	10.731	-0.175	0.11
1.208	10.98	-0.169	0.109
1.292	11.21	-0.163	0.109
1.375	11.422	-0.158	0.109
1.458	11.62	-0.154	0.108
1.542	11.805	-0.153	0.108
1.625	11.979	-0.154	0.108
1.708	12.144	-0.16	0.108
1.792	12.302	-0.168	0.108
1.875	12.453	-0.181	0.108
1.958	12.599	-0.197	0.108
2	12.671	-0.206	0.108
2.042	12.742	-0.217	0.108
2.125	12.881	-0.24	0.108
2.208	13.018	-0.266	0.108
2.292	13.154	-0.296	0.109
2.375	13.29	-0.328	0.109
2.458	13.425	-0.362	0.109
2.542	13.561	-0.398	0.109
2.625	13.697	-0.435	0.11
2.708	13.835	-0.472	0.11
2.792	13.974	-0.51	0.11
2.875	14.115	-0.548	0.111
2.958	14.258	-0.585	0.111
3.042	14.403	-0.621	0.112
3.125	14.55	-0.656	0.112
3.208	14.699	-0.69	0.113
3.292	14.851	-0.721	0.114
3.375	15.004	-0.751	0.114
3.458	15.161	-0.779	0.115
3.542	15.319	-0.805	0.115
3.625	15.48	-0.828	0.116
3.708	15.643	-0.849	0.117
3.792	15.809	-0.869	0.118
3.875	15.976	-0.886	0.118
3.958	16.145	-0.902	0.119
4.042	16.317	-0.915	0.12
4.125	16.49	-0.927	0.121
4.208	16.665	-0.938	0.122
4.292	16.841	-0.947	0.122
4.375	17.019	-0.956	0.123
4.458	17.198	-0.963	0.124
4.542	17.379	-0.97	0.125
4.625	17.561	-0.976	0.126
4.708	17.744	-0.981	0.127
4.792	17.928	-0.986	0.127
4.875	18.113	-0.991	0.128
4.958	18.299	-0.996	0.129
5.042	18.486	-1	0.13
5.125	18.673	-1.005	0.131
5.208	18.862	-1.011	0.132
5.292	19.051	-1.016	0.132
5.375	19.24	-1.022	0.133
5.458	19.431	-1.028	0.134
5.542	19.621	-1.035	0.135
5.625	19.813	-1.042	0.135
5.708	20.005	-1.05	0.136
5.792	20.197	-1.059	0.137
5.875	20.39	-1.068	0.138
5.958	20.584	-1.077	0.138
6.042	20.778	-1.087	0.139
6.125	20.972	-1.098	0.14
6.208	21.168	-1.109	0.141
6.292	21.364	-1.121	0.141
6.375	21.561	-1.133	0.142
6.458	21.758	-1.145	0.143
6.542	21.956	-1.158	0.143
6.625	22.156	-1.171	0.144
6.708	22.356	-1.184	0.145
6.792	22.557	-1.197	0.145
6.875	22.759	-1.21	0.146
6.958	22.963	-1.224	0.147
7.042	23.167	-1.236	0.147
7.125	23.373	-1.249	0.148
7.208	23.581	-1.262	0.149
7.292	23.79	-1.274	0.149
7.375	24	-1.285	0.15
7.458	24.213	-1.296	0.151
7.542	24.426	-1.306	0.151
7.625	24.642	-1.316	0.152
7.708	24.86	-1.325	0.153
7.792	25.08	-1.333	0.154
7.875	25.302	-1.34	0.154
7.958	25.526	-1.346	0.155
8.042	25.753	-1.352	0.156
8.125	25.981	-1.356	0.157
8.208	26.213	-1.36	0.158
8.292	26.447	-1.362	0.158
8.375	26.683	-1.364	0.159
8.458	26.923	-1.364	0.16
8.542	27.165	-1.363	0.161
8.625	27.41	-1.362	0.162
8.708	27.658	-1.359	0.163
8.792	27.909	-1.356	0.164
8.875	28.163	-1.351	0.165
8.958	28.421	-1.346	0.166
9.042	28.681	-1.339	0.167
9.125	28.945	-1.332	0.168
9.208	29.213	-1.324	0.169
9.292	29.484	-1.315	0.17
9.375	29.758	-1.306	0.171
9.458	30.036	-1.295	0.172
9.542	30.318	-1.284	0.173
9.625	30.603	-1.273	0.174
9.708	30.892	-1.261	0.175
9.792	31.185	-1.248	0.176
9.875	31.482	-1.235	0.177
9.958	31.783	-1.221	0.178
10.042	32.088	-1.207	0.179
10.125	32.397	-1.192	0.18
10.208	32.71	-1.177	0.181
10.292	33.027	-1.162	0.182
10.375	33.348	-1.147	0.183
10.458	33.674	-1.131	0.184
10.542	34.004	-1.116	0.185
10.625	34.338	-1.1	0.186
10.708	34.676	-1.084	0.187
10.792	35.019	-1.068	0.188
10.875	35.366	-1.051	0.188
10.958	35.717	-1.035	0.189
11.042	36.073	-1.019	0.19
11.125	36.433	-1.003	0.191
11.208	36.797	-0.987	0.192
11.292	37.166	-0.971	0.192
11.375	37.539	-0.956	0.193
11.458	37.916	-0.94	0.193
11.542	38.298	-0.925	0.194
11.625	38.684	-0.909	0.195
11.708	39.074	-0.894	0.195
11.792	39.468	-0.88	0.196
11.875	39.866	-0.865	0.196
11.958	40.268	-0.851	0.196
12.042	40.674	-0.837	0.197
12.125	41.084	-0.823	0.197
12.208	41.498	-0.81	0.197
12.292	41.916	-0.797	0.197
12.375	42.336	-0.784	0.197
12.458	42.761	-0.772	0.197
12.542	43.188	-0.76	0.197
12.625	43.619	-0.749	0.197
12.708	44.053	-0.738	0.197
12.792	44.489	-0.727	0.197
12.875	44.928	-0.717	0.197
12.958	45.37	-0.707	0.197
13.042	45.813	-0.698	0.197
13.125	46.259	-0.689	0.196
13.208	46.707	-0.681	0.196
13.292	47.156	-0.674	0.196
13.375	47.607	-0.667	0.195
13.458	48.058	-0.66	0.195
13.542	48.511	-0.654	0.194
13.625	48.964	-0.649	0.194
13.708	49.418	-0.644	0.193
13.792	49.872	-0.64	0.193
13.875	50.325	-0.637	0.192
13.958	50.779	-0.634	0.191
14.042	51.231	-0.632	0.191
14.125	51.682	-0.631	0.19
14.208	52.132	-0.63	0.189
14.292	52.581	-0.63	0.189
14.375	53.027	-0.631	0.188
14.458	53.471	-0.633	0.187
14.542	53.913	-0.635	0.186
14.625	54.351	-0.638	0.186
14.708	54.787	-0.642	0.185
14.792	55.219	-0.647	0.184
14.875	55.647	-0.652	0.183
14.958	56.071	-0.659	0.182
15.042	56.491	-0.666	0.182
15.125	56.906	-0.673	0.181
15.208	57.316	-0.682	0.18
15.292	57.721	-0.691	0.179
15.375	58.121	-0.701	0.178
15.458	58.515	-0.712	0.178
15.542	58.903	-0.723	0.177
15.625	59.285	-0.735	0.176
15.708	59.66	-0.748	0.175
15.792	60.029	-0.761	0.175
15.875	60.392	-0.774	0.174
15.958	60.747	-0.788	0.173
16.042	61.095	-0.802	0.172
16.125	61.437	-0.816	0.172
16.208	61.771	-0.831	0.171
16.292	62.097	-0.846	0.17
16.375	62.416	-0.861	0.17
16.458	62.728	-0.876	0.169
16.542	63.032	-0.89	0.169
16.625	63.329	-0.905	0.168
16.708	63.618	-0.919	0.168
16.792	63.9	-0.934	0.167
16.875	64.174	-0.947	0.167
16.958	64.44	-0.961	0.166
17.042	64.7	-0.973	0.166
17.125	64.952	-0.985	0.165
17.208	65.197	-0.997	0.165
17.292	65.434	-1.008	0.164
17.375	65.665	-1.018	0.164
17.458	65.89	-1.027	0.164
17.542	66.107	-1.035	0.163
17.625	66.319	-1.043	0.163
17.708	66.524	-1.05	0.163
17.792	66.724	-1.055	0.163
17.875	66.918	-1.06	0.162
17.958	67.106	-1.064	0.162
18.042	67.29	-1.066	0.162
18.125	67.469	-1.068	0.162
18.208	67.643	-1.069	0.162
18.292	67.813	-1.068	0.161
18.375	67.979	-1.067	0.161
18.458	68.141	-1.065	0.161
18.542	68.3	-1.061	0.161
18.625	68.456	-1.057	0.161
18.708	68.609	-1.052	0.161
18.792	68.759	-1.046	0.16
18.875	68.907	-1.039	0.16
18.958	69.052	-1.032	0.16
19.042	69.195	-1.023	0.16
19.125	69.335	-1.014	0.16
19.208	69.474	-1.005	0.16
19.292	69.609	-0.995	0.16
19.375	69.742	-0.985	0.16
19.458	69.872	-0.975	0.16
19.542	69.999	-0.964	0.16
19.625	70.121	-0.954	0.16
19.708	70.239	-0.945	0.16
19.792	70.35	-0.935	0.161
19.875	70.455	-0.927	0.161
19.958	70.553	-0.92	0.161
20	70.598	-0.916	0.161
