Age	M	L	S
0	13.4069	-0.3053	0.0956
0.25	16.8987	0.0068	0.08495
0.5	17.3422	-0.1913	0.08234
0.75	17.1662	-0.3176	0.08102
1	16.7981	-0.4115	0.08009
1.5	16.1392	-0.5484	0.07873
2	16.0189	-0.6187	0.07785
3	15.5988	-0.3101	0.07931
4	15.3326	-0.3622	0.08238
5	15.1916	-0.6892	0.087
6	15.3062	-0.9921	0.08682
7	15.5	-1.25	0.091
8	15.7	-1.46	0.095
9	16.0	-1.63	0.100
10	16.4	-1.74	0.106
11	16.9	-1.79	0.111
12	17.5	-1.78	0.115
13	18.2	-1.72	0.119
14	19.0	-1.62	0.122
15	19.8	-1.50	0.124
16	20.5	-1.35	0.126
17	21.1	-1.20	0.127
18	21.7	-1.03	0.128
