Age	M	L	S
0	13.3363	-0.0631	0.09272
0.25	16.3574	0.0643	0.09254
0.5	16.9083	-0.1429	0.09036
0.75	16.7406	-0.2725	0.08898
1	16.3568	-0.3667	0.08797
1.5	15.7263	-0.5017	0.0865
2	15.6881	-0.5684	0.08454
3	15.3968	-0.5684	0.08535
4	15.2602	-0.5684	0.09168
5	15.2747	-0.5684	0.09789
6	15.2697	-1.0794	0.10195
7	15.4	-1.26	0.107
8	15.7	-1.39	0.113
9	16.1	-1.47	0.118
10	16.6	-1.49	0.123
11	17.2	-1.46	0.127
12	18.0	-1.40	0.131
13	18.8	-1.32	0.134
14	19.6	-1.23	0.137
15	20.2	-1.13	0.139
16	20.7	-1.04	0.141
17	21.0	-0.94	0.142
18	21.3	-0.85	0.143
